Node,Type,Degree,Degree Centrality,Eigenvector Centrality
Vv3MW,follower,1,0.001145475372279496,0.0022165835974485033
3AEYR9J,follower,1,0.001145475372279496,0.00019749071292121925
lzl4w,follower,3,0.003436426116838488,0.0025858272994416474
LMx6Q,follower,1,0.001145475372279496,0.0002712621177340879
aN8yr,follower,2,0.002290950744558992,0.0012299135051422885
J5ayAao,follower,1,0.001145475372279496,0.0002712621177340879
xPkZx,follower,1,0.001145475372279496,0.0002712621177340879
KEy2932,follower,1,0.001145475372279496,0.0002712621177340879
m6EJQ,follower,1,0.001145475372279496,0.0002712621177340879
z8yPq27,follower,1,0.001145475372279496,0.0002712621177340879
y8EAk1x,follower,1,0.001145475372279496,0.0002712621177340879
ogz92Ad,follower,1,0.001145475372279496,0.0002712621177340879
y2VdvO4,follower,1,0.001145475372279496,0.0002712621177340879
lKpOAN,follower,1,0.001145475372279496,0.0002712621177340879
79P7Jk9,follower,1,0.001145475372279496,0.0002712621177340879
JEo3Oz2,follower,1,0.001145475372279496,0.0002712621177340879
jZ3l8N1,follower,1,0.001145475372279496,0.0002712621177340879
naQ5a,follower,1,0.001145475372279496,0.0005929072176662629
y28yE,follower,1,0.001145475372279496,0.0005929072176662629
zK39Q2p,follower,1,0.001145475372279496,0.0005929072176662629
Ng0z8x,follower,1,0.001145475372279496,0.0005929072176662629
2d0m9my,follower,2,0.002290950744558992,0.0012596008853702856
3JyYEKv,follower,1,0.001145475372279496,0.0005929072176662629
37jwKZ,follower,1,0.001145475372279496,0.0005929072176662629
JE1qjoo,follower,1,0.001145475372279496,0.0005929072176662629
17B59XY,follower,1,0.001145475372279496,0.0005929072176662629
EvW07,follower,1,0.001145475372279496,0.0005929072176662629
5powGJ,follower,1,0.001145475372279496,0.0005929072176662629
YZz2QjW,follower,1,0.001145475372279496,0.0005929072176662629
87ZXk73,follower,1,0.001145475372279496,0.0005929072176662629
zZX5pzO,follower,1,0.001145475372279496,0.0005929072176662629
kZ9rgRV,follower,1,0.001145475372279496,0.0005929072176662629
wyjdxK,follower,1,0.001145475372279496,0.0017349072045260148
x5Zz3,follower,1,0.001145475372279496,0.0017349072045260148
G0v4x,follower,2,0.002290950744558992,0.0032491839460110036
rGjK8,follower,1,0.001145475372279496,0.0006666936677040225
e4yMZ,follower,1,0.001145475372279496,0.0006666936677040225
vYYppJV,follower,1,0.001145475372279496,0.0006666936677040225
85P5NJv,follower,1,0.001145475372279496,0.0006666936677040225
AM9oGQg,follower,1,0.001145475372279496,0.0006666936677040225
1YqjR7Y,follower,1,0.001145475372279496,0.0006666936677040225
bp99Vvy,follower,1,0.001145475372279496,0.0006666936677040225
9b77XJO,follower,1,0.001145475372279496,0.0006666936677040225
GV5l1r7,follower,1,0.001145475372279496,0.0006666936677040225
Y1B1MK,follower,1,0.001145475372279496,0.0006666936677040225
1aK45E,follower,1,0.001145475372279496,0.0006666936677040225
PkABg4N,follower,1,0.001145475372279496,0.0006666936677040225
aAkEalw,follower,1,0.001145475372279496,0.0006666936677040225
jNzGYEa,follower,1,0.001145475372279496,0.0006666936677040225
PWdAKBp,follower,1,0.001145475372279496,0.0006666936677040225
7loM5OW,follower,1,0.001145475372279496,0.0006666936677040225
NlGox5Q,follower,1,0.001145475372279496,0.0006666936677040225
aN9y4NE,follower,1,0.001145475372279496,0.0006666936677040225
JEwdpwY,follower,1,0.001145475372279496,0.0006666936677040225
kvovdWB,follower,1,0.001145475372279496,0.0006666936677040225
OJq2PXl,follower,1,0.001145475372279496,0.0006666936677040225
5KzMA76,follower,1,0.001145475372279496,0.0006666936677040225
5K74j86,follower,1,0.001145475372279496,0.0006666936677040225
YzXKMy,follower,1,0.001145475372279496,0.0006666936677040225
Mayq7NG,follower,1,0.001145475372279496,0.0006666936677040225
2o74EE2,follower,1,0.001145475372279496,0.0006666936677040225
bpXvk0Q,follower,1,0.001145475372279496,0.0006666936677040225
PW2o5qk,follower,1,0.001145475372279496,0.0006666936677040225
vZVlj1R,follower,1,0.001145475372279496,0.0006666936677040225
Nkm0mmQ,follower,1,0.001145475372279496,0.0006666936677040225
EqdEbz8,follower,1,0.001145475372279496,0.0006666936677040225
QRNj81,follower,1,0.001145475372279496,0.0006666936677040225
GW3QVb,follower,1,0.001145475372279496,0.0006666936677040225
